"		瘤痢锅龋",瘤痢疙,老矫,乞闭扁柯(∩),弥绊扁柯(∩),"	弥绊扁柯矫阿",弥历扁柯(∩),弥历扁柯矫阿,老背瞒
"		156",堡林,2016-01-01,3.2,8.1,14:58,-1.5,6:03,9.6
"		156",堡林,2016-01-02,6.5,12.7,16:04,1.3,7:07,11.4
"		156",堡林,2016-01-03,7.3,13.7,15:53,3.7,7:57,10
"		156",堡林,2016-01-04,6.4,11.4,14:23,2.3,23:38,9.1
"		156",堡林,2016-01-05,2.4,5.8,15:15,-0.7,23:13,6.5
"		156",堡林,2016-01-06,3.3,7.5,14:28,-1,2:04,8.5
"		156",堡林,2016-01-07,2.7,5.2,12:31,1.2,23:54,4
"		156",堡林,2016-01-08,1.2,4.8,15:03,-0.2,3:41,5
"		156",堡林,2016-01-09,2.5,7.7,14:33,-0.3,7:43,8
"		156",堡林,2016-01-10,3.7,8.5,15:20,-0.1,7:56,8.6
"		156",堡林,2016-01-11,1.5,5.3,14:02,-0.9,23:34,6.2
"		156",堡林,2016-01-12,-0.3,4.1,14:03,-4.2,7:44,8.3
"		156",堡林,2016-01-13,1,4.5,14:30,-1.3,1:46,5.8
"		156",堡林,2016-01-14,1.4,5.8,15:04,-0.6,23:47,6.4
"		156",堡林,2016-01-15,2.6,8.4,13:35,-2.2,5:53,10.6
"		156",堡林,2016-01-16,4.6,10,15:23,0.6,8:12,9.4
"		156",堡林,2016-01-17,3.7,6.6,12:59,2.4,6:07,4.2
"		156",堡林,2016-01-18,-0.8,3.2,5:24,-4.4,23:41,7.6
"		156",堡林,2016-01-19,-4.5,-2,15:58,-5.8,5:50,3.8
"		156",堡林,2016-01-20,-4.5,-0.8,13:36,-6.8,8:11,6
"		156",堡林,2016-01-21,-3,0.8,14:29,-5.3,0:01,6.1
"		156",堡林,2016-01-22,-2.8,1.1,13:01,-6.5,5:48,7.6
"		156",堡林,2016-01-23,-5.8,-3.2,0:01,-8.4,23:50,5.2
"		156",堡林,2016-01-24,-9.5,-7.7,3:12,-11.7,8:21,4
"		156",堡林,2016-01-25,-5.5,-1.5,15:56,-11.2,8:10,9.7
"		156",堡林,2016-01-26,-0.2,4,14:52,-3.8,2:33,7.8
"		156",堡林,2016-01-27,2,6.7,14:49,-1.4,7:37,8.1
"		156",堡林,2016-01-28,2.6,4.8,12:54,0.4,0:01,4.4
"		156",堡林,2016-01-29,3.9,5.1,12:16,3,5:31,2.1
"		156",堡林,2016-01-30,3.7,9.8,14:21,0.5,23:39,9.3
"		156",堡林,2016-01-31,-0.2,2.2,14:25,-1.9,23:48,4.1
"		156",堡林,2016-02-01,-2.2,0.7,11:26,-4,23:54,4.7
"		156",堡林,2016-02-02,-2.1,2.3,12:12,-5.7,6:17,8
"		156",堡林,2016-02-03,-0.1,5.7,15:01,-5.9,7:36,11.6
"		156",堡林,2016-02-04,0.7,6.5,14:40,-3.8,5:17,10.3
"		156",堡林,2016-02-05,1.2,5.7,14:00,-2.2,7:33,7.9
