"		瘤痢锅龋",瘤痢疙,老矫,乞闭浅加(m/s),弥措浅加(m/s),弥措浅加浅氢(deg),"	弥措浅加矫阿",弥措鉴埃浅加(m/s),弥措鉴埃浅加浅氢(deg),"	弥措鉴埃浅加矫阿"
"		156",堡林,2016-01-01,1,2.7,230,16:32,4.2,230,16:23
"		156",堡林,2016-01-02,0.6,1.5,90,0:47,2.4,200,16:05
"		156",堡林,2016-01-03,0.8,2.2,250,14:40,4.1,270,15:08
"		156",堡林,2016-01-04,1.3,3.5,50,23:23,5.7,320,14:33
"		156",堡林,2016-01-05,2.4,4,70,16:07,6.4,70,16:00
"		156",堡林,2016-01-06,2.3,4,20,16:39,8.7,20,16:32
"		156",堡林,2016-01-07,1.4,4,20,7:58,7.3,50,7:50
"		156",堡林,2016-01-08,0.8,2.2,340,16:15,5.6,360,16:02
"		156",堡林,2016-01-09,1.2,4.4,270,14:00,7.6,270,14:07
"		156",堡林,2016-01-10,1.3,3.6,50,22:32,6.7,50,22:47
"		156",堡林,2016-01-11,2.3,4.8,50,3:20,8.1,50,3:11
"		156",堡林,2016-01-12,1.8,3.9,20,11:59,8.4,340,14:53
"		156",堡林,2016-01-13,2,6.7,270,14:26,11.6,250,14:26
"		156",堡林,2016-01-14,1,3.2,270,14:40,7.4,270,14:38
"		156",堡林,2016-01-15,0.8,3.1,270,15:40,5.4,250,16:08
"		156",堡林,2016-01-16,0.9,3,70,19:51,4.1,50,19:35
"		156",堡林,2016-01-17,1.9,3.9,70,11:38,6.6,50,12:26
"		156",堡林,2016-01-18,1.9,4.6,320,14:27,10.9,340,15:18
"		156",堡林,2016-01-19,1.9,4.6,290,13:33,10.7,290,13:41
"		156",堡林,2016-01-20,2.1,4,50,15:07,8.5,50,12:40
"		156",堡林,2016-01-21,2.6,4.6,50,13:44,9.9,50,16:18
"		156",堡林,2016-01-22,3.1,5.9,50,11:38,10.2,50,11:32
"		156",堡林,2016-01-23,2.6,5.7,20,8:43,10.4,50,8:30
"		156",堡林,2016-01-24,1.3,4.8,270,2:17,8.7,290,2:09
"		156",堡林,2016-01-25,0.6,2.5,230,14:11,4.3,250,14:08
"		156",堡林,2016-01-26,0.8,1.8,250,13:01,4.5,290,13:54
"		156",堡林,2016-01-27,0.7,1.8,200,13:32,3.3,180,13:25
"		156",堡林,2016-01-28,1.9,5.8,50,22:19,9,50,22:12
"		156",堡林,2016-01-29,1.7,4.8,50,2:39,8.8,50,0:59
"		156",堡林,2016-01-30,1.1,2.5,250,12:45,5.3,290,15:14
"		156",堡林,2016-01-31,1.5,3.1,20,14:07,7,290,11:50
"		156",堡林,2016-02-01,2.6,4.5,20,18:17,9.4,50,21:15
"		156",堡林,2016-02-02,2.2,4.2,70,9:51,7.5,290,12:49
"		156",堡林,2016-02-03,1.3,2.6,50,10:38,6.4,320,15:54
"		156",堡林,2016-02-04,1,2.5,320,16:18,6.8,320,13:26
"		156",堡林,2016-02-05,1.3,3.4,20,14:19,7,320,16:18
"		156",堡林,2016-02-06,1.6,4,20,17:54,9.6,270,16:19
"		156",堡林,2016-02-07,1.1,2.8,70,0:38,4.5,50,0:52
"		156",堡林,2016-02-08,2.2,6.6,250,14:51,12.4,250,15:03
"		156",堡林,2016-02-09,1.5,3.8,270,0:15,9,270,0:15
"		156",堡林,2016-02-10,1,2.7,180,18:15,4.8,180,18:15
"		156",堡林,2016-02-11,2.4,7,160,20:59,13.7,200,22:17
"		156",堡林,2016-02-12,2,5.1,180,0:40,10,180,0:51
"		156",堡林,2016-02-13,2.3,6.4,180,14:02,11.6,250,24:00:00
"		156",堡林,2016-02-14,2.7,4.5,320,3:48,12.7,320,3:45
"		156",堡林,2016-02-15,1.9,4.2,20,10:07,10.3,20,10:02
"		156",堡林,2016-02-16,2.5,6.8,270,13:18,13,270,13:09
"		156",堡林,2016-02-17,1.6,4,50,12:10,7.6,70,12:05
"		156",堡林,2016-02-18,2.2,6.4,200,15:02,12.4,230,16:00
"		156",堡林,2016-02-19,0.9,2.3,50,16:54,3.7,320,20:58
"		156",堡林,2016-02-20,1.9,5.2,20,15:11,10.2,360,15:07
"		156",堡林,2016-02-21,1.3,2.9,20,14:18,6.9,290,15:33
"		156",堡林,2016-02-22,1.1,3.7,50,2:13,5.5,50,2:12
"		156",堡林,2016-02-23,1.7,4.4,20,13:46,9.1,50,13:43
"		156",堡林,2016-02-24,2.1,4.1,360,13:40,9,20,10:37
"		156",堡林,2016-02-25,1.5,3.5,20,14:21,8.5,290,13:12
