,예보시각,예보
0,2016-01-01,구름조금
1,2016-01-02,구름많고 눈/비
2,2016-01-03,구름많음
3,2016-01-04,구름많음
4,2016-01-05,구름많음
5,2016-01-06,구름많고 비
6,2016-01-07,구름많음
7,2016-01-08,구름많고 눈
8,2016-01-09,구름많음
9,2016-01-10,구름많음
10,2016-01-11,구름많음
11,2016-01-12,구름많고 눈/비
12,2016-01-13,구름많음
13,2016-01-14,구름많음
14,2016-01-15,구름많음
15,2016-01-16,구름많음
16,2016-01-17,구름많음
17,2016-01-18,구름많고 눈
18,2016-01-19,구름많고 눈
19,2016-01-20,구름조금
20,2016-01-21,구름조금
21,2016-01-22,구름많음
22,2016-01-23,구름많고 눈
23,2016-01-24,구름많고 눈
24,2016-01-25,구름많고 눈
25,2016-01-26,구름많음
26,2016-01-27,구름많음
27,2016-01-28,흐리고 비/눈
28,2016-01-29,흐리고 비
29,2016-01-30,구름많음
30,2016-01-31,구름많음
31,2016-02-01,구름많음
32,2016-02-02,구름많음
33,2016-02-03,구름조금
34,2016-02-04,구름조금
35,2016-02-05,구름많음
36,2016-02-06,구름많음
37,2016-02-07,구름많음
38,2016-02-08,구름많음
39,2016-02-09,구름많음
40,2016-02-10,구름조금
41,2016-02-11,구름많고 비
42,2016-02-12,흐리고 비
43,2016-02-13,흐리고 비
44,2016-02-14,구름많음
45,2016-02-15,구름많음
46,2016-02-16,구름많음
47,2016-02-17,구름많음
48,2016-02-18,구름많음
49,2016-02-19,구름많음
50,2016-02-20,구름많음
51,2016-02-21,구름많음
52,2016-02-22,구름많음
53,2016-02-23,흐리고 비/눈
54,2016-02-24,구름많음
55,2016-02-25,구름많음
56,2016-02-26,구름많고 눈
57,2016-02-27,구름많음
58,2016-02-28,구름많고 눈/비
59,2016-02-29,구름많음
60,2016-03-01,구름많음
61,2016-03-02,구름많음
62,2016-03-03,구름많음
63,2016-03-04,구름많고 비
64,2016-03-05,흐리고 비
65,2016-03-06,구름많음
66,2016-03-07,구름많음
67,2016-03-08,구름많음
68,2016-03-09,구름많고 비
69,2016-03-10,구름많음
70,2016-03-11,구름많음
71,2016-03-12,구름조금
72,2016-03-13,구름많음
73,2016-03-14,구름많음
74,2016-03-15,구름많음
75,2016-03-16,구름많음
76,2016-03-17,흐리고 비
77,2016-03-18,흐리고 비
78,2016-03-19,구름많음
79,2016-03-20,구름많음
80,2016-03-21,구름많음
81,2016-03-22,구름많음
82,2016-03-23,구름많음
83,2016-03-24,구름조금
84,2016-03-25,구름조금
85,2016-03-26,구름많음
86,2016-03-27,구름많음
87,2016-03-28,구름조금
88,2016-03-29,구름많음
89,2016-03-30,구름많음
90,2016-03-31,흐리고 비
91,2016-04-01,구름많음
92,2016-04-02,구름많음
93,2016-04-03,구름많음
94,2016-04-04,구름많음
95,2016-04-05,구름많음
96,2016-04-06,구름많음
97,2016-04-07,흐리고 비
98,2016-04-08,구름조금
99,2016-04-09,구름많음
100,2016-04-10,구름많음
101,2016-04-11,구름많음
102,2016-04-12,구름많음
103,2016-04-13,흐리고 비
104,2016-04-14,구름많음
105,2016-04-15,구름많음
106,2016-04-16,흐리고 비
107,2016-04-17,흐리고 비
108,2016-04-18,구름많음
109,2016-04-19,구름많음
110,2016-04-20,구름많음
111,2016-04-21,흐리고 비
112,2016-04-22,구름많음
113,2016-04-23,구름많음
114,2016-04-24,구름조금
115,2016-04-25,구름조금
116,2016-04-26,구름많음
117,2016-04-27,구름많고 비
118,2016-04-28,구름많음
119,2016-04-29,구름많음
120,2016-04-30,구름많음
121,2016-05-01,구름많음
122,2016-05-02,흐리고 비
123,2016-05-03,흐리고 비
124,2016-05-04,구름많음
125,2016-05-05,구름많음
126,2016-05-06,흐리고 비
127,2016-05-07,구름많음
128,2016-05-08,구름많음
129,2016-05-09,흐리고 비
130,2016-05-10,흐리고 비
131,2016-05-11,구름많음
132,2016-05-12,구름많음
133,2016-05-13,구름많음
134,2016-05-14,구름많음
135,2016-05-15,흐리고 비
136,2016-05-16,흐리고 비
137,2016-05-17,구름많음
138,2016-05-18,구름조금
139,2016-05-19,구름많음
140,2016-05-20,구름많음
141,2016-05-21,구름많음
142,2016-05-22,구름많음
143,2016-05-23,구름많음
144,2016-05-24,흐리고 비
145,2016-05-25,구름많음
146,2016-05-26,구름많음
147,2016-05-27,구름많음
148,2016-05-28,구름많음
149,2016-05-29,구름많음
150,2016-05-30,구름조금
151,2016-05-31,구름많음
152,2016-06-01,구름많음
153,2016-06-02,구름조금
154,2016-06-03,구름많음
155,2016-06-04,구름많음
156,2016-06-05,구름많음
157,2016-06-06,구름많음
158,2016-06-07,구름많음
