"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각,일교차
"		133",대전,2016-06-01,22.9,28.4,15:10,18.5,5:31,9.9
"		133",대전,2016-06-02,22.5,29.3,15:02,15.1,5:42,14.2
"		133",대전,2016-06-03,22.7,29,15:37,17.1,5:46,11.9
"		133",대전,2016-06-04,19.9,22,14:14,17.1,23:55,4.9
"		133",대전,2016-06-05,22.9,30.3,15:58,14.6,5:14,15.7
"		133",대전,2016-06-06,20.8,24.5,13:55,18.4,5:44,6.1
"		133",대전,2016-06-07,21.9,26.7,15:45,18.4,5:13,8.3
"		133",대전,2016-06-08,22.4,27.1,15:44,19.1,4:18,8
"		133",대전,2016-06-09,24,30.2,16:23,17.5,5:54,12.7
"		133",대전,2016-06-10,25.3,31.2,15:33,19.6,5:29,11.6
"		133",대전,2016-06-11,25.6,29.8,15:18,20.9,5:37,8.9
"		133",대전,2016-06-12,24.9,27.4,16:33,23.1,5:19,4.3
"		133",대전,2016-06-13,24.6,29.6,15:07,20.8,5:24,8.8
"		133",대전,2016-06-14,24.2,30.3,15:48,19.4,4:50,10.9
"		133",대전,2016-06-15,22.3,26.1,14:44,20.3,5:36,5.8
"		133",대전,2016-06-16,21.7,25.8,16:50,19.1,23:49,6.7
"		133",대전,2016-06-17,23.3,29.3,15:17,16.4,5:29,12.9
"		133",대전,2016-06-18,25.1,31,14:15,18.5,5:36,12.5
"		133",대전,2016-06-19,25.7,30.1,14:01,21.7,4:51,8.4
"		133",대전,2016-06-20,24.2,29.5,15:40,20,4:41,9.5
"		133",대전,2016-06-21,26.1,32,14:41,19.7,5:36,12.3
"		133",대전,2016-06-22,25.4,31.1,14:19,23.2,23:59,7.9
"		133",대전,2016-06-23,26.2,31.7,15:45,20.9,5:27,10.8
"		133",대전,2016-06-24,22.2,24.8,16:31,19.4,24:00:00,5.4
"		133",대전,2016-06-25,22.9,27.7,16:55,18.8,1:10,8.9
"		133",대전,2016-06-26,23.9,30,15:16,18.7,4:54,11.3
"		133",대전,2016-06-27,23.3,28.3,15:26,18.8,5:09,9.5
"		133",대전,2016-06-28,24,30.1,15:48,18,5:29,12.1
"		133",대전,2016-06-29,24.8,28.2,16:12,21.2,5:40,7
"		133",대전,2016-06-30,25.5,29.2,16:46,23.1,1:12,6.1
"		133",대전,2016-07-01,25,29.8,11:03,23.3,23:17,6.5
"		133",대전,2016-07-02,24.5,28,15:07,22.2,6:55,5.8
"		133",대전,2016-07-03,22.7,24.4,9:48,20.4,21:55,4
