"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각,일교차
"		136",안동,2016-01-01,-0.9,6.2,14:52,-7.5,5:43,13.7
"		136",안동,2016-01-02,2.9,11,15:07,-3,7:40,14
"		136",안동,2016-01-03,3,13,15:46,-3,5:30,16
"		136",안동,2016-01-04,4.9,10,14:47,-0.9,0:14,10.9
"		136",안동,2016-01-05,-0.1,4.2,14:50,-3.2,23:57,7.4
"		136",안동,2016-01-06,-0.8,5.1,14:39,-6.9,7:25,12
"		136",안동,2016-01-07,-0.8,3.8,15:17,-3.8,6:59,7.6
"		136",안동,2016-01-08,-1.9,3.2,15:09,-6.1,5:46,9.3
"		136",안동,2016-01-09,-0.9,4.3,15:57,-7.1,3:31,11.4
"		136",안동,2016-01-10,0.8,5.6,13:36,-3.2,6:32,8.8
"		136",안동,2016-01-11,-2.1,4.8,15:38,-7.1,6:48,11.9
"		136",안동,2016-01-12,-4.1,4.2,15:01,-12,7:54,16.2
"		136",안동,2016-01-13,-2.3,1.6,15:04,-7.4,4:57,9
"		136",안동,2016-01-14,-1.8,2.6,15:11,-5.9,7:41,8.5
"		136",안동,2016-01-15,-1.9,5.1,15:02,-8.5,7:40,13.6
"		136",안동,2016-01-16,-1.3,7.8,14:50,-8.2,5:21,16
"		136",안동,2016-01-17,-0.2,3.8,13:32,-4.3,1:00,8.1
"		136",안동,2016-01-18,-2.7,1.4,0:50,-9,23:51,10.4
"		136",안동,2016-01-19,-8.9,-5.5,14:23,-11,6:54,5.5
"		136",안동,2016-01-20,-9,-4,16:19,-15.4,7:02,11.4
"		136",안동,2016-01-21,-6.4,-0.3,15:02,-12,1:06,11.7
"		136",안동,2016-01-22,-5.5,1.6,13:55,-14.3,6:52,15.9
"		136",안동,2016-01-23,-7.6,-4.1,13:38,-13.5,24:00:00,9.4
"		136",안동,2016-01-24,-12,-7.7,14:30,-15.7,7:24,8
"		136",안동,2016-01-25,-7.8,-1.6,15:03,-15.6,6:13,14
"		136",안동,2016-01-26,-3.4,3.2,14:45,-10.9,7:43,14.1
"		136",안동,2016-01-27,0.1,6,14:37,-4.3,7:12,10.3
"		136",안동,2016-01-28,-1.6,2.6,15:53,-7.8,4:42,10.4
"		136",안동,2016-01-29,1,3.5,11:54,-1.5,0:44,5
"		136",안동,2016-01-30,1.8,5.3,14:49,-0.5,23:06,5.8
"		136",안동,2016-01-31,-0.7,2.8,14:31,-3.4,7:42,6.2
"		136",안동,2016-02-01,-3,2.1,15:09,-6.9,6:52,9
"		136",안동,2016-02-02,-4.3,3.6,15:49,-12.4,7:22,16
"		136",안동,2016-02-03,-4.1,4.4,14:30,-13,7:34,17.4
"		136",안동,2016-02-04,-0.5,5.6,13:23,-7.6,7:43,13.2
"		136",안동,2016-02-05,-0.9,5.3,14:36,-6.6,7:10,11.9
"		136",안동,2016-02-06,-1.4,4.4,15:13,-7,3:12,11.4
