"		瘤痢锅龋",瘤痢疙,老矫,乞闭扁柯(∩),弥绊扁柯(∩),"	弥绊扁柯矫阿",弥历扁柯(∩),弥历扁柯矫阿,老背瞒
"		127",面林,2016-01-01,-1,4.1,14:39,-5.9,3:54,10
"		127",面林,2016-01-02,3.5,9.9,13:07,0.4,5:08,9.5
"		127",面林,2016-01-03,3.6,11.4,15:07,-1.6,5:43,13
"		127",面林,2016-01-04,3.9,8,13:45,-2.8,23:51,10.8
"		127",面林,2016-01-05,-2,2.7,15:05,-6.1,23:57,8.8
"		127",面林,2016-01-06,-2.1,2.7,14:12,-7.8,5:41,10.5
"		127",面林,2016-01-07,-3.4,2.5,14:50,-7.6,7:43,10.1
"		127",面林,2016-01-08,-3.5,2.2,14:40,-8.9,6:41,11.1
"		127",面林,2016-01-09,-0.6,3.6,14:13,-4.6,0:27,8.2
"		127",面林,2016-01-10,0.5,5.2,15:22,-3.8,22:35,9
"		127",面林,2016-01-11,-4.4,2.1,15:50,-8.5,7:26,10.6
"		127",面林,2016-01-12,-5.1,1.8,15:25,-11.1,7:31,12.9
"		127",面林,2016-01-13,-2.4,1.2,13:37,-6.1,7:40,7.3
"		127",面林,2016-01-14,-2.9,1.6,15:46,-9.2,8:03,10.8
"		127",面林,2016-01-15,-2.6,3.6,14:35,-7.1,7:11,10.7
"		127",面林,2016-01-16,-2.1,5.7,15:04,-7.7,7:28,13.4
"		127",面林,2016-01-17,1.5,5.8,15:57,-3.9,0:35,9.7
"		127",面林,2016-01-18,-3.9,2.3,0:01,-10,23:57,12.3
"		127",面林,2016-01-19,-10.3,-7,14:59,-13.1,7:45,6.1
"		127",面林,2016-01-20,-11.2,-5.9,15:12,-15.8,6:41,9.9
"		127",面林,2016-01-21,-7.9,-1.9,15:12,-12.7,0:28,10.8
"		127",面林,2016-01-22,-7.5,-1.3,14:13,-13.8,6:22,12.5
"		127",面林,2016-01-23,-8.6,-5.5,0:01,-12.2,23:41,6.7
"		127",面林,2016-01-24,-13.4,-8.9,15:10,-16.6,7:20,7.7
"		127",面林,2016-01-25,-9.7,-2.7,15:03,-17,7:33,14.3
"		127",面林,2016-01-26,-5,0.5,13:31,-10.6,0:04,11.1
"		127",面林,2016-01-27,-2.8,4.4,13:28,-8.2,3:32,12.6
"		127",面林,2016-01-28,-2.2,2,16:02,-9.3,5:12,11.3
"		127",面林,2016-01-29,3.2,6.8,14:36,-0.2,7:34,7
"		127",面林,2016-01-30,1.4,8.3,14:54,-3.5,7:19,11.8
"		127",面林,2016-01-31,-3.1,1.8,15:46,-6.9,7:34,8.7
"		127",面林,2016-02-01,-5.9,0,15:33,-10.6,6:56,10.6
"		127",面林,2016-02-02,-6.8,1.5,15:36,-13.4,6:36,14.9
"		127",面林,2016-02-03,-4.9,3.2,15:47,-13.1,6:43,16.3
"		127",面林,2016-02-04,-0.9,5.5,15:54,-6.7,6:29,12.2
